sezione,oggetto,dettaglio
DIAGNOSI,A14 · numero di indici non-PK/UNIQUE su public,0
DIAGNOSI,A5 · order_number ha un vincolo UNIQUE?,"UNIQUE (restaurant_id, order_number)"
DIAGNOSI,A7 · orders.status ammette expired?,NO → le scritture di expired falliscono
DIAGNOSI,versione PostgreSQL,"PostgreSQL 17.6 on aarch64-unknown-linux-gnu, compiled by gcc (GCC) 15.2.0, 64-bit"
COLONNE,bookings,"id uuid NOT NULL, restaurant_id uuid NOT NULL, name text NOT NULL, phone text NOT NULL, email text, guests smallint NOT NULL, date date NOT NULL, time time without time zone NOT NULL, status text NOT NULL, notes text, pre_order_items jsonb, pre_order_total numeric(10,2), linked_order_id uuid, created_at timestamp with time zone"
COLONNE,delivery_zones,"id uuid NOT NULL, restaurant_id uuid NOT NULL, name text NOT NULL, radius_km numeric(10,2), min_order numeric(10,2), delivery_fee numeric(10,2), free_delivery_threshold numeric(10,2), enabled boolean, caps text, lat numeric(10,6), lng numeric(10,6), created_at timestamp with time zone"
COLONNE,menu_categories,"id uuid NOT NULL, restaurant_id uuid NOT NULL, name text NOT NULL, sort_order smallint, created_at timestamp with time zone, name_en text"
COLONNE,menu_items,"id uuid NOT NULL, restaurant_id uuid NOT NULL, category_id uuid, category_name text NOT NULL, name text NOT NULL, description text, price numeric(10,2) NOT NULL, original_price numeric(10,2), image_url text, image_alt text, allergens text[], dish_tags text[], ingredients text[], available boolean, visibility text, visibility_from time without time zone, visibility_to time without time zone, sort_order smallint, orders_count integer, option_groups jsonb, created_at timestamp with time zone, updated_at timestamp with time zone, customization_enabled boolean NOT NULL, notes_enabled boolean NOT NULL, name_en text, description_en text, ingredients_en text[], allergens_en text[], dish_tags_en text[]"
COLONNE,order_items,"id uuid NOT NULL, order_id uuid NOT NULL, menu_item_id uuid, name text NOT NULL, price numeric(10,2) NOT NULL, qty smallint NOT NULL, note text, added_ingredients jsonb, removed_ingredients text[], selected_options jsonb"
COLONNE,orders,"id uuid NOT NULL, restaurant_id uuid NOT NULL, order_number text NOT NULL, type text NOT NULL, status text NOT NULL, customer_name text, customer_email text, customer_phone text, customer_address text, table_number text, guests smallint, subtotal numeric(10,2) NOT NULL, delivery_fee numeric(10,2), discount numeric(10,2), total numeric(10,2) NOT NULL, promo_code text, promo_applied boolean, scheduled_at timestamp with time zone, notes text, created_at timestamp with time zone, updated_at timestamp with time zone"
COLONNE,platform_settings,"key text NOT NULL, value jsonb NOT NULL, updated_at timestamp with time zone"
COLONNE,profiles,"id uuid NOT NULL, role text NOT NULL, name text, email text, created_at timestamp with time zone"
COLONNE,promos,"id uuid NOT NULL, restaurant_id uuid NOT NULL, code text NOT NULL, type text NOT NULL, value numeric(10,2) NOT NULL, min_order_subtotal numeric(10,2), active boolean, start_date date, end_date date, description text, max_uses integer, used_count integer, custom_banner_text text, applicable_delivery_modes text[], created_at timestamp with time zone"
COLONNE,restaurant_categories,"id uuid NOT NULL, name text NOT NULL, created_at timestamp with time zone"
COLONNE,restaurant_hours,"id uuid NOT NULL, restaurant_id uuid NOT NULL, day_of_week smallint NOT NULL, is_open boolean, lunch_from time without time zone, lunch_to time without time zone, lunch_enabled boolean, dinner_from time without time zone, dinner_to time without time zone, dinner_enabled boolean"
COLONNE,restaurants,"id uuid NOT NULL, owner_id uuid, name text NOT NULL, slug text NOT NULL, email text NOT NULL, phone text, address text, city text, province text, cap text, vat_number text, category text, tagline text, description text, logo_url text, background_url text, status text NOT NULL, plan text NOT NULL, delivery_enabled boolean, pickup_enabled boolean, table_enabled boolean, delivery_fee numeric(10,2), min_order numeric(10,2), free_delivery_threshold numeric(10,2), free_delivery_active boolean, card_delivery boolean, card_pickup boolean, cash_delivery boolean, cash_pickup boolean, paypal_enabled boolean, paypal_connected boolean, paypal_email text, stripe_enabled boolean, stripe_connected boolean, stripe_account_label text, iban_enabled boolean, online_payment_account text, iban_holder text, scheduled_orders jsonb, hours_config jsonb, tables_count integer, created_at timestamp with time zone, updated_at timestamp with time zone, published_at timestamp with time zone, card_table boolean, cash_table boolean, stripe_delivery boolean, stripe_pickup boolean, stripe_table boolean, paypal_delivery boolean, paypal_pickup boolean, paypal_table boolean"
CHECK,bookings,"bookings_status_check: CHECK ((status = ANY (ARRAY['pending'::text, 'confirmed'::text, 'cancelled'::text])))"
CHECK,menu_items,"menu_items_visibility_check: CHECK ((visibility = ANY (ARRAY['always'::text, 'hidden'::text, 'scheduled'::text])))"
CHECK,orders,"orders_type_check: CHECK ((type = ANY (ARRAY['domicilio'::text, 'asporto'::text, 'tavolo'::text])))  |  orders_status_check: CHECK ((status = ANY (ARRAY['new'::text, 'pending'::text, 'preparing'::text, 'ready'::text, 'delivering'::text, 'delivered'::text, 'cancelled'::text])))"
CHECK,profiles,"profiles_role_check: CHECK ((role = ANY (ARRAY['admin'::text, 'ristoratore'::text])))"
CHECK,promos,"promos_type_check: CHECK ((type = ANY (ARRAY['percentage'::text, 'fixed_amount'::text, 'threshold_based'::text, 'first_order'::text, 'free_delivery'::text])))"
CHECK,restaurant_hours,restaurant_hours_day_of_week_check: CHECK (((day_of_week >= 0) AND (day_of_week <= 6)))
CHECK,restaurants,"restaurants_status_check: CHECK ((status = ANY (ARRAY['draft'::text, 'published'::text, 'suspended'::text])))  |  restaurants_plan_check: CHECK ((plan = ANY (ARRAY['starter'::text, 'pro'::text, 'enterprise'::text])))"
PK_UNIQUE,bookings,bookings_pkey: PRIMARY KEY (id)
PK_UNIQUE,delivery_zones,delivery_zones_pkey: PRIMARY KEY (id)
PK_UNIQUE,menu_categories,menu_categories_pkey: PRIMARY KEY (id)
PK_UNIQUE,menu_items,menu_items_pkey: PRIMARY KEY (id)
PK_UNIQUE,order_items,order_items_pkey: PRIMARY KEY (id)
PK_UNIQUE,orders,"orders_restaurant_id_order_number_key: UNIQUE (restaurant_id, order_number)  |  orders_pkey: PRIMARY KEY (id)"
PK_UNIQUE,platform_settings,platform_settings_pkey: PRIMARY KEY (key)
PK_UNIQUE,profiles,profiles_pkey: PRIMARY KEY (id)
PK_UNIQUE,promos,"promos_pkey: PRIMARY KEY (id)  |  promos_restaurant_id_code_key: UNIQUE (restaurant_id, code)"
PK_UNIQUE,restaurant_categories,restaurant_categories_pkey: PRIMARY KEY (id)  |  restaurant_categories_name_key: UNIQUE (name)
PK_UNIQUE,restaurant_hours,"restaurant_hours_pkey: PRIMARY KEY (id)  |  restaurant_hours_restaurant_id_day_of_week_key: UNIQUE (restaurant_id, day_of_week)"
PK_UNIQUE,restaurants,restaurants_pkey: PRIMARY KEY (id)  |  restaurants_slug_key: UNIQUE (slug)  |  restaurants_email_key: UNIQUE (email)
FOREIGN_KEY,bookings,bookings_restaurant_id_fkey: FOREIGN KEY (restaurant_id) REFERENCES restaurants(id) ON DELETE CASCADE  |  bookings_linked_order_id_fkey: FOREIGN KEY (linked_order_id) REFERENCES orders(id) ON DELETE SET NULL
FOREIGN_KEY,delivery_zones,delivery_zones_restaurant_id_fkey: FOREIGN KEY (restaurant_id) REFERENCES restaurants(id) ON DELETE CASCADE
FOREIGN_KEY,menu_categories,menu_categories_restaurant_id_fkey: FOREIGN KEY (restaurant_id) REFERENCES restaurants(id) ON DELETE CASCADE
FOREIGN_KEY,menu_items,menu_items_restaurant_id_fkey: FOREIGN KEY (restaurant_id) REFERENCES restaurants(id) ON DELETE CASCADE  |  menu_items_category_id_fkey: FOREIGN KEY (category_id) REFERENCES menu_categories(id) ON DELETE SET NULL
FOREIGN_KEY,order_items,order_items_order_id_fkey: FOREIGN KEY (order_id) REFERENCES orders(id) ON DELETE CASCADE  |  order_items_menu_item_id_fkey: FOREIGN KEY (menu_item_id) REFERENCES menu_items(id) ON DELETE SET NULL
FOREIGN_KEY,orders,orders_restaurant_id_fkey: FOREIGN KEY (restaurant_id) REFERENCES restaurants(id) ON DELETE CASCADE
FOREIGN_KEY,profiles,profiles_id_fkey: FOREIGN KEY (id) REFERENCES auth.users(id) ON DELETE CASCADE
FOREIGN_KEY,promos,promos_restaurant_id_fkey: FOREIGN KEY (restaurant_id) REFERENCES restaurants(id) ON DELETE CASCADE
FOREIGN_KEY,restaurant_hours,restaurant_hours_restaurant_id_fkey: FOREIGN KEY (restaurant_id) REFERENCES restaurants(id) ON DELETE CASCADE
FOREIGN_KEY,restaurants,restaurants_owner_id_fkey: FOREIGN KEY (owner_id) REFERENCES profiles(id) ON DELETE SET NULL
INDICI,bookings,CREATE UNIQUE INDEX bookings_pkey ON public.bookings USING btree (id)
INDICI,delivery_zones,CREATE UNIQUE INDEX delivery_zones_pkey ON public.delivery_zones USING btree (id)
